INFO:     Started server process [1464]
INFO:     Waiting for application startup.
2026-03-08 12:43:05,850 INFO food_detection_bot Detector initialized provider=yolo model=yolo11n.pt text_provider=tesseract-ocr text_enabled=True text_available=False text_message=tesseract binary not found in PATH
2026-03-08 12:43:05,851 INFO food_detection_bot Dish classifier initialized enabled=True available=False model=food101-efficientnet-b0 message=checkpoint not found: src/models/food101_efficientnet.pt
2026-03-08 12:43:05,851 INFO food_detection_bot Model fingerprint model_id=yolo11n.pt model_weights_path=C:\Users\hrger\Kalorifit\food_detection_bot\yolo11n.pt model_weights_sha256=0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1 model_loaded_at=2026-03-08T11:43:05.824561Z
2026-03-08 12:43:05,852 INFO food_detection_bot Product catalog loaded path=src/data/products.json size=8
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8001 (Press CTRL+C to quit)
2026-03-08 13:14:06,442 INFO food_detection_bot detect request_id=5cd8707f-8eeb-41e4-869d-da462b90ba81 bytes=119691 detections=1 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 13:14:06,948 INFO food_detection_bot detect request_id=54e87a13-8fe4-4104-9ca3-0507c818c861 bytes=123852 detections=1 items=1 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 13:14:07,820 INFO food_detection_bot detect request_id=dfdf414c-3b3b-4230-aca8-ab7c44a1869f bytes=125537 detections=3 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 13:14:57,967 INFO food_detection_bot detect request_id=eaf412d2-3e4b-4408-81bb-c8004a6b4aca bytes=125537 detections=3 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 13:19:00,426 INFO food_detection_bot detect request_id=425ce5c2-4821-40bd-a4d2-bcd73bac9017 bytes=125537 detections=3 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 13:42:51,794 INFO food_detection_bot detect request_id=415f4e41-94b6-44e7-b5be-4e806526ac29 bytes=65535 detections=1 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 13:42:53,760 INFO food_detection_bot detect request_id=5caeaf1b-e7bd-4f59-ba02-be0a68cd7631 bytes=64496 detections=1 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:33:33,171 INFO food_detection_bot detect request_id=cff6cdc3-57b8-40a7-ab1a-c6f4e2ba60ae bytes=7688 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:35:59,835 INFO food_detection_bot detect request_id=beb5bcf4-e041-4bd9-b6e5-c5580c5e2ddf bytes=7688 detections=0 items=0 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:33,018 INFO food_detection_bot detect request_id=308f2d60-d25f-48b4-9db8-722c1de9fd44 bytes=65518 detections=1 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
2026-03-08 15:36:44,725 INFO food_detection_bot detect request_id=159a755e-fbd0-4de7-a770-819c6863cb4b bytes=66192 detections=1 items=5 text_detections=0 response_keys=['alternatives', 'barcode_result', 'debug', 'detections', 'items', 'latency_ms', 'model', 'ok', 'package_detection', 'packaging_type', 'predicted_product', 'scan_log_id', 'text_detections', 'top_match']
