epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75908,1.01592,3.06931,1.29142,0.00333,1,0.995,0.995,0.04792,2.67986,0.46124,2e-05,2e-05,2e-05
2,14.6502,1.09122,2.93581,1.28183,0.00333,1,0.995,0.995,0.05635,2.67356,0.45335,5.703e-05,5.703e-05,5.703e-05
3,21.6976,0.9134,3.0002,1.25848,0.00333,1,0.995,0.995,0.08884,2.67785,0.4564,9.01e-05,9.01e-05,9.01e-05
4,28.2677,0.35459,2.51486,0.86743,0.00333,1,0.995,0.995,0.13008,2.68569,0.46301,0.00011921,0.00011921,0.00011921
5,35.4148,0.37386,2.54503,0.85587,0.00333,1,0.995,0.995,0.18355,2.69283,0.47893,0.00014436,0.00014436,0.00014436
6,41.9729,0.30767,2.27279,0.87779,0.00333,1,0.995,0.995,0.18355,2.69283,0.47893,0.00016555,0.00016555,0.00016555
7,48.66,0.26768,2.30132,0.78561,0.00333,1,0.995,0.995,0.21822,2.68038,0.48458,0.00018278,0.00018278,0.00018278
8,55.3759,0.24531,2.37533,0.98306,0.00333,1,0.995,0.995,0.26002,2.67043,0.49476,0.00019605,0.00019605,0.00019605
9,61.7188,0.24897,2.19418,0.96235,0.00333,1,0.995,0.995,0.26002,2.67043,0.49476,0.00020536,0.00020536,0.00020536
10,68.1496,0.34455,2.37205,0.84287,0.00333,1,0.995,0.995,0.2436,2.66818,0.49724,0.00021071,0.00021071,0.00021071
11,74.6329,0.42436,2.58755,1.01339,0.00333,1,0.995,0.995,0.2436,2.66818,0.49724,0.0002121,0.0002121,0.0002121
12,82.8084,0.19246,2.33376,0.82146,0.00333,1,0.995,0.8955,0.1351,2.64495,0.47258,0.00020953,0.00020953,0.00020953
13,90.6865,0.33607,2.25744,0.82258,0.00333,1,0.995,0.8955,0.1351,2.64495,0.47258,0.000203,0.000203,0.000203
14,97.6311,0.2372,2.38632,0.84004,0.00333,1,0.995,0.8955,0.1351,2.64495,0.47258,0.00019251,0.00019251,0.00019251
15,104.579,0.33617,2.3625,0.77319,0.00333,1,0.995,0.995,0.11878,2.62871,0.46409,0.00017806,0.00017806,0.00017806
16,111.697,0.37221,2.14242,0.76628,0.00333,1,0.995,0.995,0.11878,2.62871,0.46409,0.00015965,0.00015965,0.00015965
17,118.76,0.3311,2.27256,0.95025,0.00333,1,0.995,0.995,0.11878,2.62871,0.46409,0.00013728,0.00013728,0.00013728
18,126.544,0.7764,2.55843,0.89502,0.00333,1,0.995,0.995,0.16892,2.54041,0.46206,0.00011095,0.00011095,0.00011095
19,133.16,0.25414,2.03989,0.85098,0.00333,1,0.995,0.995,0.16892,2.54041,0.46206,8.066e-05,8.066e-05,8.066e-05
20,139.881,0.26964,2.03323,0.75056,0.00333,1,0.995,0.995,0.16892,2.54041,0.46206,4.641e-05,4.641e-05,4.641e-05
